title,price,pages,reviews,value_per_page,link
Leadership Strategy and Tactics: Field Manual,440.0,320,7739,0.7272727272727273,https://www.amazon.in/dp/1529033004/?coliid=I2HIEH4IL5ARM6&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Hyperfocus:How to Work Less to Achieve More,403.0,256,3545,0.6352357320099256,https://www.amazon.in/dp/1035036282/?coliid=ICTFCT0T3Y6T6&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
PITCH ANYTHING,488.0,240,218,0.4918032786885246,https://www.amazon.in/dp/0071332480/?coliid=I1N1XJ4EKECZ63&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Art of Spending Money,360.0,256,,0.7111111111111111,https://www.amazon.in/dp/1804093696/?coliid=I2FY91H8H3LF4T&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
ONLY THE PARANOID SURVIVE: HOW TO SURVIVE THE CRISIS POINTS THAT CHALLENGE EVERY COMPANY (Old Edition),314.0,226,364,0.7197452229299363,https://www.amazon.in/dp/1861975139/?coliid=IPY2CI4ZVC6OZ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Made in Japan: Akio Morita and the Sony Corporation/409048,,,76,,https://www.amazon.in/dp/0525244654/?coliid=IG3ULFRVDHSSO&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it
Start. Scale. Exit. Repeat: Serial Entrepreneurs’ Secrets Revealed!,572.0,472,138,0.8251748251748252,https://www.amazon.in/dp/8119792572/?coliid=IWJR3E7G723P1&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
CELEBRATION OF DISCIPLINE,575.0,304,4149,0.528695652173913,https://www.amazon.in/dp/0340979267/?coliid=I2V5LH782YGGSM&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
To Sell Is Human,370.0,272,4372,0.7351351351351352,https://www.amazon.in/dp/1786891719/?coliid=I3D67KEHW544HE&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Built To Last,900.0,342,2383,0.38,https://www.amazon.in/dp/1844135845/?coliid=I5Q5E1JWRP3GT&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
THE BILLIONAIRE'S APPRENTICE,495.0,512,581,1.0343434343434343,https://www.amazon.in/dp/9350097362/?coliid=I2DV6ZJL6KJDZ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"The Upstarts: Uber, Airbnb and the Battle for the New Silicon Valley",467.0,464,1513,0.9935760171306209,https://www.amazon.in/dp/0552172588/?coliid=I3ETO6LZF8GSAH&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
WORK RULES!,489.0,416,2434,0.8507157464212679,https://www.amazon.in/dp/1444792385/?coliid=IG784E8ERDTZR&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Good To Great,813.0,320,8314,0.3936039360393604,https://www.amazon.in/dp/0712676090/?coliid=I2VFSFS6KI7JQS&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
10x Is Easier Than 2x,407.0,296,1904,0.7272727272727273,https://www.amazon.in/dp/9388302850/?coliid=IIK8RU69700JZ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,599.0,288,4462,0.48080133555926546,https://www.amazon.in/dp/1529146828/?coliid=I11C0USRS5E3IR&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Go-Giver,437.0,,8941,,https://www.amazon.in/dp/B01LYQUUJW/?coliid=I1V15D4IGDU28V&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
TRACTION,1407.0,246,8477,0.17484008528784648,https://www.amazon.in/dp/1936661837/?coliid=I4DXJPFAEJB67&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Money Works: The Guide to Financial Literacy,255.0,372,179,1.4588235294117646,https://www.amazon.in/dp/0143461648/?coliid=I2AM8NS92PBNOO&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
What They Teach You at Harvard Business School My Two Years Inside the Cauldron of Capitalism by Delves Broughton Philip,420.0,304,453,0.7238095238095238,https://www.amazon.in/dp/0141046481/?coliid=I3E83QZOAU78OL&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
GOOD STRATEGY/BAD STRATEGY (NEW ED),314.0,336,4449,1.070063694267516,https://www.amazon.in/dp/1781256179/?coliid=I3G7WIVDIGBGK3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Four, The",493.87,336,4001,0.6803409804199486,https://www.amazon.in/dp/0552173436/?coliid=I23XUJK2SSN07V&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Key to Positivity: Why You’ve Got the Comfort Zone All Wrong – and How to Tap Its Power to Live Your Best Life Now,1470.0,336,44,0.22857142857142856,https://www.amazon.in/dp/1837823251/?coliid=I28V68E0G5FKA7&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Innovators,451.0,560,5710,1.2416851441241685,https://www.amazon.in/dp/1471138801/?coliid=I1PUHP45X3L549&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
