title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
"The Art of War: Premium Hardback Edition, Ideal for Gifting",Sun Tzu,243.0,217,2,5.0,1.119815668202765,https://www.amazon.in/dp/0143471775/?coliid=IS9MUSSG5GO7Q&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143471775,General Books,"Hardcover

₹243.00",2025-07-21T20:11:49.748672
The Wealth of Nations,Adam Smith,489.0,1144,2051,4.5,0.42744755244755245,https://www.amazon.in/dp/9387779467/?coliid=ISDRTW5ZMV6MM&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9387779467,General Books,"Paperback

₹489.00",2025-07-21T20:11:52.168073
As a Man Thinketh,James Allen,99.0,96,11885,4.4,1.03125,https://www.amazon.in/dp/9386538172/?coliid=I2JHUXXXPDKP92&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9386538172,General Books,"Paperback

₹99.00",2025-07-21T20:11:52.567527
The Art of War - Deluxe Edition,Sun Tzu,369.0,232,8084,4.4,1.5905172413793103,https://www.amazon.in/dp/9388369696/?coliid=I2V92A24Q86EI7&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9388369696,General Books,"Hardcover

₹369.00",2025-07-21T20:11:53.092266
"The Learning Game: Teaching Kids to Think for Themselves, Embrace Challenge, and Love Learning",Ana Lorena Fábrega,404.7,207,221,4.6,1.9550724637681158,https://www.amazon.in/dp/B0BLHTBRLZ/?coliid=IJL2NCN5LMM2H&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B0BLHTBRLZ,General Books,"Kindle Edition

₹404.70
Available instantly",2025-07-21T20:12:02.243120
DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD,Cal Newport,244.0,304,30754,4.5,0.8026315789473685,https://www.amazon.in/dp/0349413681/?coliid=I316K7D9ATQMR0&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0349413681,General Books,"Paperback

₹244.00",2025-07-21T20:12:03.279651
Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,574.0,288,2337,4.5,1.9930555555555556,https://www.amazon.in/dp/1529915953/?coliid=I3N2EH10VH8TP9&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1529915953,General Books,"Paperback

₹574.00",2025-07-21T20:12:03.408212
Make Time,"John Knapp, Jake;Zeratsky",644.0,256,5300,4.5,2.515625,https://www.amazon.in/dp/0593079582/?coliid=I39HQB9SJK6Q04&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0593079582,General Books,"Paperback

₹644.00",2025-07-21T20:12:04.497203
Master Your Emotions,Thibaut Meurisse,286.64,224,12983,4.4,1.279642857142857,https://www.amazon.in/dp/818328552X/?coliid=IM75SYTDKDHV7&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,818328552X,General Books,"Paperback

₹286.64",2025-07-21T20:12:12.917714
Debt - Updated and Expanded,David Graeber,1608.0,560,2052,4.6,2.8714285714285714,https://www.amazon.in/dp/1612194192/?coliid=I26J56XE1JKYN8&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1612194192,General Books,"Paperback

₹1,608.00",2025-07-21T20:12:13.614655
"YUVAL NOAH HARARI 3 BOOKS BOXSET: Sapiens, Homo Deus, Book Lovers, & 21 Lessons for the 21st Century | Discover the epic story of humankind | Top 100 Books of the 21st Century",Yuval Noah Harari,1300.0,1,1156,4.6,1300.0,https://www.amazon.in/dp/1529115663/?coliid=I7RSHLHDMWKHW&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1529115663,General Books,"Paperback

₹1,300.00",2025-07-21T20:12:14.647883
The Ascent of Money,Niall Ferguson,500.0,560,2329,4.4,0.8928571428571429,https://www.amazon.in/dp/0141990260/?coliid=I1EE0C2TEEWM8N&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141990260,General Books,"Paperback

₹500.00",2025-07-21T20:12:14.674253
Ratan Tata : A Life,Thomas Mathew,899.0,712,234,4.7,1.2626404494382022,https://www.amazon.in/dp/9356295697/?coliid=I1WZLWSV2T4DS&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9356295697,General Books,"Hardcover

₹899.00",2025-07-21T20:12:24.105282
LEONARDO DA VINCI Paperback,Walter Isaacson,1881.0,624,10696,4.6,3.014423076923077,https://www.amazon.in/dp/1471166783/?coliid=I380FZIXSE0K2G&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1471166783,General Books,"Paperback

₹1,881.00",2025-07-21T20:12:24.565223
Einstein: His Life and Universe,Walter Isaacson,435.0,704,5512,4.6,0.6178977272727273,https://www.amazon.in/dp/1847390544/?coliid=I30AT3BXI53DIT&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1847390544,General Books,"Paperback

₹435.00",2025-07-21T20:12:25.323918
"Good Vibes, Good Life: How Self-love Is: How Self-love Is the Key to Unlocking Your Greatness",Vex King,323.0,304,33347,4.6,1.0625,https://www.amazon.in/dp/9386832836/?coliid=IEEL82H8QZWE&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9386832836,General Books,"Paperback

₹323.00",2025-07-21T20:12:25.762169
The Gifts of Imperfection,Brené Brown,576.49,240,41788,4.5,2.402041666666667,https://www.amazon.in/dp/1785043544/?coliid=I2IECF2I6MEMDQ&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1785043544,General Books,"Hardcover

₹576.49",2025-07-21T20:12:33.964770
Treasure Island (Enriched Classics),Robert Louis Stevenson,182.88,304,32518,4.3,0.601578947368421,https://www.amazon.in/dp/1416500294/?coliid=I3331UT8JVJFM6&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1416500294,General Books,"Mass Market Paperback

₹182.88",2025-07-21T20:12:34.354483
The Prince,"Niccolo Machiavelli, Tim Parks",548.0,240,1202,4.8,2.283333333333333,https://www.amazon.in/dp/0141395877/?coliid=I2NWALKE65K86N&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141395877,General Books,"Hardcover

₹548.00",2025-07-21T20:12:34.284894
Sapiens: THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,399.0,512,123117,4.7,0.779296875,https://www.amazon.in/dp/0099590085/?coliid=I207NLIB25NDCN&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0099590085,General Books,"Paperback

₹399.00",2025-07-21T20:12:43.618714
