title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Meditations by Marcus Aurelius (Deluxe Hardbound Edition),Marcus Aurelius,299.0,304,2260,4.4,0.9835526315789473,https://www.amazon.in/dp/9354407269/?coliid=I30AGM19PK3N68&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354407269,Hardcover Books,"Hardcover

₹299.00",2025-07-21T19:56:17.111563
Crime and Punishment (Deluxe Hardbound Edition),Fyodor Dostoevsky,559.0,568,15167,4.5,0.9841549295774648,https://www.amazon.in/dp/9354403794/?coliid=IBNC5TFIWDUQV&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354403794,Hardcover Books,"Hardcover

₹559.00",2025-07-21T19:56:17.984383
Letters from a Stoic (Deluxe Hardbound Edition) by Seneca – Stoicism | Personal Development |Practical Wisdom | Classic Literature,Seneca,299.0,256,5434,4.5,1.16796875,https://www.amazon.in/dp/9358566744/?coliid=I1RG07SILQUP5Q&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9358566744,Hardcover Books,"Hardcover

₹299.00",2025-07-21T19:56:17.983998
From Impossible to Inevitable: How Saas and Other Hyper-Growth Companies Create Predictable Revenue,"Aaron Ross, Jason Lemkin",2172.0,336,270,4.4,6.464285714285714,https://www.amazon.in/dp/1119531691/?coliid=I2000P96YNRJAH&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1119531691,Hardcover Books,"Hardcover

₹2,172.00",2025-07-21T19:56:17.994217
The Prince (Deluxe Hardbound Edition),Niccolo Machiavelli,299.0,176,1089,4.6,1.6988636363636365,https://www.amazon.in/dp/9354406688/?coliid=IDFX8PM604IYD&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354406688,Hardcover Books,"Hardcover

₹299.00",2025-07-21T19:56:28.682195
Crime and Punishment by Fyodor Dostoevsky: Powerful Psychological Thriller | Russian Classic on Guilt & Redemption | Premium Hardbound Collector's Edition,Fyodor Dostoyevsky,288.0,512,157,4.6,0.5625,https://www.amazon.in/dp/9815162497/?coliid=I1UYRWV43FI2W3&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9815162497,Hardcover Books,"Hardcover

₹288.00",2025-07-21T19:56:29.439208
Pride and Prejudice by Jane Austen (Deluxe Hardbound Edition) – Classic Victorian Literature| Must-read for Literature Lovers,Jane Austen,594.0,520,3018,4.6,1.1423076923076922,https://www.amazon.in/dp/938777967X/?coliid=IAG6A3KVE9LU1&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,938777967X,Hardcover Books,"Hardcover

₹594.00",2025-07-21T19:56:30.276584
War and Peace (Deluxe Hardbound Edition),Leo Tolstoy,899.0,1232,230,4.3,0.7297077922077922,https://www.amazon.in/dp/9354402577/?coliid=I3F7Q0GL5QPS51&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354402577,Hardcover Books,"Hardcover

₹899.00",2025-07-21T19:56:30.314676
Sapiens: A Brief History of Humankind (10 Year Anniversary Edition),Yuval Noah Harari,784.35,512,123117,4.7,1.53193359375,https://www.amazon.in/dp/1529913934/?coliid=I34YOTXX08510N&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1529913934,Hardcover Books,"Hardcover

₹784.35",2025-07-21T19:56:40.193966
The Hero Code: Lessons on How To Achieve More Than You Ever Thought Possible,Admiral William H. McRaven,227.0,176,205,4.6,1.2897727272727273,https://www.amazon.in/dp/1847943632/?coliid=I335AGW9HB09CU&colid=31VZFN51IPTZX&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1847943632,Hardcover Books,"Hardcover

₹227.00",2025-07-21T19:56:40.769686
