title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
"Start Small, Stay Small: A Developer's Guide to Launching a Startup","Rob Walling, Mike Taber",2876.0,214,702,4.3,GALAXY BOOK25,13.439252336448599,https://www.amazon.in/dp/0615373968/?coliid=I1MD8YBNOD6DJI&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0615373968,Business Books,"Paperback

₹2,876.00",2025-09-22T12:01:27.094737
The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,"Avinash K. Dixit, Barry J. Nalebuff",997.0,512,1299,4.5,Best Price_,1.947265625,https://www.amazon.in/dp/0393337170/?coliid=I2TCXJ1HFP7IPY&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0393337170,Business Books,"Paperback

₹997.00",2025-09-22T12:01:28.707884
Principles For Dealing With The Changing World Order,Ray Dalio,903.0,576,8087,4.6,Cocoblu Retail,1.5677083333333333,https://www.amazon.in/dp/1471196690/?coliid=I2VPVBUWGDL3T6&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1471196690,Business Books,"Hardcover

₹903.00",2025-09-22T12:01:29.037952
The Start-Up Code: Taking Your Company from Seed to Scale,Mukesh Bansal,475.0,410,270,4.9,Cocoblu Retail,1.1585365853658536,https://www.amazon.in/dp/0670097144/?coliid=IYP50JFTE407N&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0670097144,Business Books,"Hardcover

₹475.00",2025-09-22T12:01:29.901599
Billion Dollar Lessons: What You Can Learn from the Most Inexcusable Business Failures of the Last 25 Ye ars,"Paul B. Carroll, Chunka Mui",873.89,336,178,4.4,Inetrade India,2.600863095238095,https://www.amazon.in/dp/1591842891/?coliid=IH1I2NV809SIU&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1591842891,Business Books,"Paperback

₹843.80",2025-09-22T12:01:34.838466
Be Your Future Self Now: The Science of Intentional Transformation,Dr. Benjamin Hardy,1083.0,256,1699,4.6,Cocoblu Retail,4.23046875,https://www.amazon.in/dp/1401974015/?coliid=I2BJRCWY3F4AE1&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1401974015,Business Books,"Paperback

₹1,083.00",2025-09-22T12:01:36.727137
"Mind Management, Not Time Management: Productivity When Creativity Matters: 2 (Getting Art Done)",David Kadavy,299.0,262,897,4.4,Repro Books-On-Demand,1.1412213740458015,https://www.amazon.in/dp/8119623835/?coliid=IKFBJYL120GZ2&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8119623835,Business Books,"Paperback

₹299.00",2025-09-22T12:01:39.445934
Connect the Dots,Rashmi Bansal,294.0,368,1201,4.4,uRead-Store,0.7989130434782609,https://www.amazon.in/dp/8193182170/?coliid=I1JHWRE95Z5ZWN&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8193182170,Business Books,"Paperback

₹294.00",2025-09-22T12:01:40.930799
Million Dollar Weekend: The Surprisingly Simple Way to Launch a 7-Figure Business in 48 Hours,Noah Kagan,585.0,240,3361,4.7,Cocoblu Retail,2.4375,https://www.amazon.in/dp/1529146186/?coliid=I38V7DVS990XI5&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1529146186,Business Books,"Paperback

₹585.00",2025-09-22T12:01:43.061069
How to Get Rich: One of the World's Greatest Entrepreneurs Shares His Secrets,Felix Dennis,598.0,320,2402,4.5,Cocoblu Retail,1.86875,https://www.amazon.in/dp/1591842719/?coliid=IAV63GU0444G0&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1591842719,Business Books,"Paperback

₹598.00",2025-09-22T12:01:43.583100
Selling from Your Comfort Zone: The Power of Alignment Marketing,"Stacey Hall, Sam Horn",1309.97,208,59,4.8,Trans Infopreneur Inc,6.297932692307692,https://www.amazon.in/dp/1523001623/?coliid=I2PPSK9RJ3SEB9&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1523001623,Business Books,"Paperback

₹1,309.97",2025-09-22T12:01:48.190868
The 80/20 Principle,Richard Koch,486.0,432,356,4.3,Bargain Book,1.125,https://www.amazon.in/dp/1529370450/?coliid=I3N7XEPCFHV1ND&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1529370450,Business Books,"Paperback

₹486.00",2025-09-22T12:01:49.511346
The Sovereign Individual: Mastering the Transition to the Information Age,"James Dale Davidson, Lord William Rees-Mogg",983.0,448,1730,4.5,Cocoblu Retail,2.1941964285714284,https://www.amazon.in/dp/0684832720/?coliid=I3GX07XH5BEYHR&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0684832720,Business Books,"Paperback

₹983.00",2025-09-22T12:01:52.963509
Challenger Sale : Taking Control of the: Taking Control of the Customer Conversation,"Matthew Dixon, Brent Adamson",611.0,240,5519,4.4,Cocoblu Retail,2.5458333333333334,https://www.amazon.in/dp/0670922854/?coliid=I1MSLQC7WX5GSF&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0670922854,Business Books,"Paperback

₹611.00",2025-09-22T12:01:53.983522
The SaaS Sales Method: Sales As a Science,,,,436,4.6,Fast Media 2,,https://www.amazon.in/dp/198626968X/?coliid=ILWI5S647VWKD&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,198626968X,Business Books,"Paperback

₹2,319.00",2025-09-22T12:01:54.174579
Predictable Revenue: Turn Your Business Into a Sales Machine with the $100 Million Best Practices of Salesforce.com,"Aaron Ross, Marylou Tyler",1271.0,208,2150,4.3,Repro Books-On-Demand,6.110576923076923,https://www.amazon.in/dp/0984380213/?coliid=I2A84I3T72BOXT&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0984380213,Business Books,"Paperback

₹1,271.00",2025-09-22T12:01:59.810346
"The Sales Acceleration Formula: Using Data, Technology, and Inbound Selling to go from $0 to $100 Million",Mark Roberge,995.0,224,1349,4.6,The Ocean BookStore™,4.441964285714286,https://www.amazon.in/dp/B0F1WFTNXZ/?coliid=I3KDO0JZ8487EI&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B0F1WFTNXZ,Business Books,"Paperback

₹995.00",2025-09-22T12:02:04.055358
Learning How to Learn,Barbara Oakley,569.0,256,1438,4.6,Cocoblu Retail,2.22265625,https://www.amazon.in/dp/0143132547/?coliid=I3QALPLT0ZQVP6&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0143132547,Business Books,"Paperback

₹569.00",2025-09-22T12:02:04.974323
"The Daily Laws: 366 Meditations on Power, Seduction, Mastery, Strategy and Human Nature",Robert Greene,388.0,464,4752,4.6,Cocoblu Retail,0.8362068965517241,https://www.amazon.in/dp/1800816286/?coliid=IAEMY9EZD4D76&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1800816286,Business Books,"Paperback

₹388.00",2025-09-22T12:02:05.923320
On Grand Strategy,John Lewis Gaddis,485.0,384,1211,4.4,Cocoblu Retail,1.2630208333333333,https://www.amazon.in/dp/0141987227/?coliid=I22FTCSAB0UVPW&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0141987227,Business Books,"Paperback

₹485.00",2025-09-22T12:02:07.796805
Selling Is Hard. Buying Is Harder.: How Buyer Enablement Drives Digital Sales and Shortens the Sales Cycle,Garin Hess,1025.0,292,69,4.4,Repro Books-On-Demand,3.51027397260274,https://www.amazon.in/dp/1632992949/?coliid=I3799VVNU2L8OJ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1632992949,Business Books,"Paperback

₹1,025.00",2025-09-22T12:02:12.869525
"Epic Content Marketing, Second Edition: Break through the Clutter with a Different Story, Get the Most Out of Your Content, and Build a Community in Web3: Memoirs","Joe Pulizzi, Brian Piper",2146.0,348,51,4.7,Cocoblu Retail,6.166666666666667,https://www.amazon.in/dp/1264774451/?coliid=I3UMC11M6W4Y2R&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1264774451,Business Books,"Hardcover

₹2,146.00",2025-09-22T12:02:15.599684
The Art of War - Deluxe Edition,Sun Tzu,348.0,232,7530,4.4,Cocoblu Retail,1.5,https://www.amazon.in/dp/9388369696/?coliid=I23MOIUMUQF882&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9388369696,Business Books,"Hardcover

₹348.00",2025-09-22T12:02:15.888514
Predatory Thinking,Dave Trott,508.0,272,705,4.5,uRead-Store,1.8676470588235294,https://www.amazon.in/dp/1447285344/?coliid=I1VNPF13QMK8BL&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1447285344,Business Books,"Paperback

₹508.00",2025-09-22T12:02:18.326632
"FAST, CHEAP AND VIRAL",Aashish Chopra,248.0,224,590,4.5,Cocoblu Retail,1.1071428571428572,https://www.amazon.in/dp/9351952754/?coliid=I31TQ9EOL70H5H&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9351952754,Business Books,"Paperback

₹248.00",2025-09-22T12:02:23.664728
"Out of the Crisis, Reissue Edition",W. Edwards Deming,858.0,448,465,4.6,Cocoblu Retail,1.9151785714285714,https://www.amazon.in/dp/9387496147/?coliid=IWPIRI6JODLLI&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9387496147,Business Books,"Paperback

₹858.00",2025-09-22T12:02:27.362848
Winnin: How to Win in Business and in Life!,Jack Welch,399.0,384,1743,4.4,aspire india,1.0390625,https://www.amazon.in/dp/0007253141/?coliid=I1GH5N2S2OT4AP&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0007253141,Business Books,"Paperback

₹399.00",2025-09-22T12:02:27.413113
I Love Capitalism!: An American Story,Ken Langone,1369.97,320,1111,4.6,Trans Infopreneur Inc,4.28115625,https://www.amazon.in/dp/073521624X/?coliid=IZSFULVCQ4O6H&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,073521624X,Business Books,"Hardcover

₹1,369.97",2025-09-22T12:02:28.279457
Multipliers : How the Best Leaders Make Everyone Smarter (Revised and Updated),Liz Wiseman,290.03,384,2605,4.6,Cocoblu Retail,0.7552864583333333,https://www.amazon.in/dp/0063359324/?coliid=I2OD2L4QQHX43U&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0063359324,Business Books,"Paperback

₹290.03",2025-09-22T12:02:34.070954
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,355.0,256,8727,4.4,Cocoblu Retail,1.38671875,https://www.amazon.in/dp/1786891700/?coliid=IR8A79WUGY0YX&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1786891700,Business Books,"Paperback

₹355.00",2025-09-22T12:02:38.296715
"Power of Habit, The (L): Why We Do What We Do, and How to Change",Charles Duhigg,481.89,400,29924,4.5,uRead-Store,1.204725,https://www.amazon.in/dp/1847946240/?coliid=ILKTMM1M5OARI&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1847946240,Business Books,"Paperback

₹496.00",2025-09-22T12:02:38.814394
THE ART OF SEDUCTION,Robert Greene,547.0,496,10941,4.4,Cocoblu Retail,1.1028225806451613,https://www.amazon.in/dp/1861977697/?coliid=I2Z6SYSNJ1CF1K&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1861977697,Business Books,"Paperback

₹547.00",2025-09-22T12:02:39.877833
