title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
The Mahabharata (Box Set of 10): Bestselling Bibek Debroy Translation of India’s Greatest Mythology Classic | Premium Hardback Edition | Ideal for Gifting Season,Bibek Debroy,5915.0,5000,26,4.7,Cocoblu Retail,1.183,https://www.amazon.in/dp/0670100226/?coliid=I27OETS1X6Z9Q5&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0670100226,General Books,"Hardcover

₹5,915.00",2025-09-22T12:21:49.651900
Death and Return of Superman Omnibus (2022 edition),"Dan Jurgens, Jerry Ordway",7853.97,1408,376,4.8,Trans Infopreneur Inc,5.578103693181818,https://www.amazon.in/dp/1779515464/?coliid=IWR1TNVEWXU2I&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1779515464,General Books,"Hardcover

₹7,853.97",2025-09-22T12:21:49.980628
"The Valmiki Ramayana (Box Set of 3): Bibek Debroy Translation of India’s Timeless Mythology | Complete Unabridged Epic of Lord Rama, Sita, Hanuman, and the War Against Ravana",Bibek Debroy,805.0,1440,652,4.7,Cocoblu Retail,0.5590277777777778,https://www.amazon.in/dp/0143441140/?coliid=I32YHYVG24U6EP&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0143441140,General Books,"Hardcover

₹805.00",2025-09-22T12:21:50.780287
Ulysses,James Joyce,284.0,704,3374,4.4,Cocoblu Retail,0.4034090909090909,https://www.amazon.in/dp/8175994541/?coliid=I10TX67TPPQX92&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8175994541,General Books,"Paperback

₹284.00",2025-09-22T12:21:52.581256
MASTER & HIS EMISSARY EXPANDED,Iain Mcgilchrist,1302.0,616,2068,4.6,Cocoblu Retail,2.1136363636363638,https://www.amazon.in/dp/0300245920/?coliid=I34RUGG3DV88ZL&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0300245920,General Books,"Paperback

₹1,302.00",2025-09-22T12:21:57.064838
The Secret of Secrets: The brilliant new Robert Langdon thriller from the internationally bestselling author of THE DA VINCI CODE (Robert Langdon Book 6),Dan Brown,893.0,704,2159,4.4,uRead-Store,1.2684659090909092,https://www.amazon.in/dp/1787634558/?coliid=I3EW6ROEZ95ELQ&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1787634558,General Books,"Hardcover

₹893.00",2025-09-22T12:21:59.055696
The Game,Neil Strauss,354.0,,6273,4.3,Cocoblu Retail,,https://www.amazon.in/dp/0062312979/?coliid=I61EX0ZU9X55E&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0062312979,General Books,"Paperback

₹354.00",2025-09-22T12:22:00.105589
The Communist Manifesto,"Karl Marx, Friedrich Engels",115.0,96,52,4.4,Cocoblu Retail,1.1979166666666667,https://www.amazon.in/dp/935520096X/?coliid=I1GJJ02N4U9T7A&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,935520096X,General Books,"Paperback

₹115.00",2025-09-22T12:22:00.515838
"Memory: How to Develop, Train and Use It | Original Edition | Premium Paperback",William Walker Atkinson,86.0,168,7430,4.2,Cocoblu Retail,0.5119047619047619,https://www.amazon.in/dp/9390441021/?coliid=IGP3TQO9IVGON&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9390441021,General Books,"Paperback

₹86.00",2025-09-22T12:22:07.761369
"Greatest Scientific Minds (Boxed Set of 3): Charles Darwin, Albert Einstein, Isaac Newton - Origin of Species | Relativity: The General and The Special Theory | The Principia",Various,569.0,1380,157,4.5,Cocoblu Retail,0.41231884057971013,https://www.amazon.in/dp/9358565527/?coliid=INFYV99ZLOT7R&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9358565527,General Books,"Paperback

₹569.00",2025-09-22T12:22:08.159189
