title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
The Complete Works of William Shakespeare (Deluxe Hardbound Edition),William Shakespeare,1234.0,1304,10,4.0,Cocoblu Retail,0.946319018404908,https://www.amazon.in/dp/9362148064/?coliid=I1RHJGQICA885T&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9362148064,Hardcover Books,"Hardcover

₹1,234.00",2025-09-22T12:43:06.466166
Dracula (Deluxe Hardbound Edition): A Timeless Novel of Gothic Fiction Vampire Novel Horror Classic Transylvania Victorian Era Supernatural Creatures ... and Bloodlust Perfect for Horror Enthusiasts,Bram Stoker,455.0,440,1233,4.6,Cocoblu Retail,1.0340909090909092,https://www.amazon.in/dp/9354403786/?coliid=I20EJHOB8QCTME&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9354403786,Hardcover Books,"Hardcover

₹455.00",2025-09-22T12:43:08.610605
The Three Musketeers by Alexandre Dumas (Deluxe Hardbound Edition),Alexandre Dumas,474.0,656,60,4.5,Cocoblu Retail,0.7225609756097561,https://www.amazon.in/dp/9358560754/?coliid=IBROCUNUSE7LU&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9358560754,Hardcover Books,"Hardcover

₹474.00",2025-09-22T12:43:09.647046
The Gym of Leadership: Insights to Help You Build Your Leadership Muscles,Dr Anil K.. Khandelwal,524.0,288,19,4.8,Cocoblu Retail,1.8194444444444444,https://www.amazon.in/dp/0143470574/?coliid=I1MDU7YSPCH9QE&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0143470574,Hardcover Books,"Hardcover

₹524.00",2025-09-22T12:43:09.868509
The Communist Manifesto (Deluxe Hardbound Edition),Karl Marx and Friedrich Engels,275.0,120,27,4.0,Cocoblu Retail,2.2916666666666665,https://www.amazon.in/dp/9362143380/?coliid=I3OD9SIOF7BRG1&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9362143380,Hardcover Books,"Hardcover

₹275.00",2025-09-22T12:43:15.169131
The Greatest Works of Jules Verne (Deluxe Hardbound Edition),Jules Verne,664.0,808,140,4.8,Cocoblu Retail,0.8217821782178217,https://www.amazon.in/dp/9354406718/?coliid=I3FL6YTQ0SOYDI&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9354406718,Hardcover Books,"Hardcover

₹664.00",2025-09-22T12:43:19.443612
The Count of Monte Cristo (Deluxe Hardbound Edition),Alexandre Dumas,759.0,1028,193,4.6,Cocoblu Retail,0.7383268482490273,https://www.amazon.in/dp/9358566051/?coliid=I3236FODBKJF3X&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9358566051,Hardcover Books,"Hardcover

₹759.00",2025-09-22T12:43:21.490348
Frankenstein (Deluxe Hardbound Edition),Mary Shelley,360.0,272,441,4.7,Cocoblu Retail,1.3235294117647058,https://www.amazon.in/dp/9354406289/?coliid=I1T3QE7SNJFZR3&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9354406289,Hardcover Books,"Hardcover

₹360.00",2025-09-22T12:43:23.230229
1984 (Deluxe Hardbound Edition),George Orwell,417.0,360,133884,4.5,Cocoblu Retail,1.1583333333333334,https://www.amazon.in/dp/8194898870/?coliid=I2QE1TSBID7LTQ&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8194898870,Hardcover Books,"Hardcover

₹417.00",2025-09-22T12:43:26.050881
A Tale of Two Cities by Charles Dickens (Deluxe Hardbound Edition) – Classic Historical Literature| French Revolution| Explores Themes of Redemption and Oppression,Charles Dickens,379.0,448,89,4.6,Cocoblu Retail,0.8459821428571429,https://www.amazon.in/dp/9354406297/?coliid=I287K7DJFAF3ZI&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9354406297,Hardcover Books,"Hardcover

₹379.00",2025-09-22T12:43:26.872582
Greatest Works of Charles Dickens Vol 1 Great Expectations A Christmas Carol Oliver Twist (Deluxe Hardbound Edition),Charles Dickens,664.0,888,83,4.6,Cocoblu Retail,0.7477477477477478,https://www.amazon.in/dp/9354407056/?coliid=IRY0QGZD6Y7BC&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9354407056,Hardcover Books,"Hardcover

₹664.00",2025-09-22T12:43:28.159682
The Greatest Short Stories of Leo Tolstoy (Deluxe Hardbound Edition),Leo Tolstoy,578.0,620,3795,4.5,Cocoblu Retail,0.932258064516129,https://www.amazon.in/dp/9388369181/?coliid=I3DP449W9JERWK&colid=31VZFN51IPTZX&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9388369181,Hardcover Books,"Hardcover

₹578.00",2025-09-22T12:43:35.613389
