title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Learning Python: Powerful Object-Oriented Programming,Mark Lutz,5187.0,1134,31,4.3,Cocoblu Retail,4.574074074074074,https://www.amazon.in/dp/1098171306/?coliid=I1XSJ5Q9H4H9EN&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1098171306,IT Books,"Paperback

₹5,187.00",2025-09-22T12:40:13.726274
Bitwise,David Auerbach,851.0,304,29,4.4,Bookland International,2.799342105263158,https://www.amazon.in/dp/1101871296/?coliid=I2RCYSCFRZBLY3&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1101871296,IT Books,"Hardcover

₹851.00",2025-09-22T12:40:13.947342
"Software Architecture in Practice | Mobility, Cloud software, AI/Machine Learning | 4th Edition | - Pearson","Len Bass, Paul Clements, ",,400,6,4.6,,,https://www.amazon.in/dp/8196874340/?coliid=I19JVMEUF8SB99&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8196874340,IT Books,Unknown,2025-09-22T12:40:14.939884
The Code Breaker,Walter Isaacson,379.0,560,13106,4.6,Cocoblu Retail,0.6767857142857143,https://www.amazon.in/dp/1398518603/?coliid=I2191QKG0QK32K&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1398518603,IT Books,"Paperback

₹379.00",2025-09-22T12:40:16.248218
Google Power Search,Stephan Spencer,,96,22,4.3,,,https://www.amazon.in/dp/9350234556/?coliid=I19P0ST3EN277H&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9350234556,IT Books,"Paperback

—",2025-09-22T12:40:22.864550
How Computers Work,"Ron White, Tim Downs",689.0,384,55,4.5,BOOK CENTRE,1.7942708333333333,https://www.amazon.in/dp/8183335993/?coliid=I2HWXFN2VP29C8&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8183335993,IT Books,"Paperback

₹694.00",2025-09-22T12:40:23.522213
Mastering the Data Paradox : Key to Winning in the AI Age |Ultimate guide to learn about artificial intelligence,Nitin Seth,495.0,400,583,4.7,Cocoblu Retail,1.2375,https://www.amazon.in/dp/014346552X/?coliid=I2VIQJ1KNT6I2J&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,014346552X,IT Books,"Hardcover

₹495.00",2025-09-22T12:40:24.400739
"UNIX and Linux Handbook, 5e","Evi Nemeth, Garth Snyder, , , ",950.0,1136,86,4.6,Cocoblu Retail,0.8362676056338029,https://www.amazon.in/dp/9353062853/?coliid=IKWBWCMS6QQGC&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9353062853,IT Books,"Paperback

₹950.00",2025-09-22T12:40:24.765384
"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win (Grayscale Indian Edition)",,1225.0,356,17,4.8,BOOKZONE INDIA,3.441011235955056,https://www.amazon.in/dp/9355428588/?coliid=I2RP6E227SOXVG&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355428588,IT Books,"Paperback

₹1,225.00",2025-09-22T12:40:32.774047
"Python Programming: An Introduction to Computer Science, Fourth Edition (Grayscale Indian Edition)",John M. Zelle,1600.0,576,33,4.7,Shroff Publishers & Distributors Pvt. Ltd.,2.7777777777777777,https://www.amazon.in/dp/9355424957/?coliid=I32SRBM6E6850W&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355424957,IT Books,"Paperback

₹1,600.00",2025-09-22T12:40:32.993707
